sl,COMMON.NAME,freq,se
1,Rosy Minivet,-4.547478856,0.711023636
1,Large Cuckooshrike,-3.889754346,0.646556081
1,Black-winged Cuckooshrike,-4.263915826,0.668807422
1,Black-headed Cuckooshrike,-4.261011307,0.6715118
1,White-browed Shrike-Babbler,-4.478753555,0.636895635
1,Green Shrike-Babbler,-5.280213355,0.69779082
1,Black-eared Shrike-Babbler,-4.552206725,0.690204828
1,White-bellied Erpornis,-4.449594226,0.668457623
1,Indian Golden Oriole,-2.75746218,0.653040909
1,Black-naped Oriole,-4.447899969,0.637488058
1,Black-hooded Oriole,-2.616230548,0.657930075
1,Maroon Oriole,-3.713716042,0.672664505
1,Ashy Woodswallow,-3.541876772,0.631721877
1,Malabar Woodshrike,-5.855948704,0.668635451
1,Large Woodshrike,-4.65759848,0.622495135
1,Common Woodshrike,-3.610010613,0.626801853
1,Bar-winged Flycatcher-shrike,-4.762941398,0.637431007
1,Common Iora,-2.553936328,0.646229193
1,White-tailed Iora,-4.944017452,0.672724428
1,White-throated Fantail,-3.169025755,0.631990999
1,Spot-breasted Fantail,-3.416969162,0.615714884
1,White-browed Fantail,-3.627915856,0.685950347
1,Black Drongo,-0.954637397,0.618812126
1,Ashy Drongo,-3.147087043,0.659297184
1,White-bellied Drongo,-3.739898198,0.643434125
1,Bronzed Drongo,-3.542410899,0.671900007
1,Lesser Racket-tailed Drongo,-4.402707248,0.675366081
1,Hair-crested Drongo,-4.22274832,0.625737487
1,Greater Racket-tailed Drongo,-3.485202348,0.674959947
1,Black-naped Monarch,-3.779779962,0.609064343
1,Indian Paradise-Flycatcher,-3.186714268,0.649454682
1,Isabelline Shrike,-4.79985152,0.689707769
1,Brown Shrike,-4.627032495,0.700510607
1,Bay-backed Shrike,-3.485760252,0.683726797
1,Long-tailed Shrike,-2.844462775,0.639512003
1,Gray-backed Shrike,-3.400006715,0.637044328
1,Great Gray Shrike,-3.939051307,0.654625089
1,Eurasian Jay,-4.514400524,0.695572255
1,Black-headed Jay,-3.63068945,0.659692284
1,Yellow-billed Blue-Magpie,-3.188651466,0.699010223
1,Red-billed Blue-Magpie,-3.576400727,0.675576866
1,Common Green-Magpie,-3.992398962,0.648258467
1,Rufous Treepie,-1.913299983,0.638493976
1,Gray Treepie,-3.288608507,0.655284239
1,White-bellied Treepie,-5.880067729,0.643368383
1,Eurasian Nutcracker,-4.476156047,0.720603725
1,Red-billed Chough,-2.669219923,0.65942717
1,Yellow-billed Chough,-2.679864875,0.705367493
1,House Crow,-1.172581027,0.630165832
1,Large-billed Crow,-1.691998041,0.659786783
1,Common Raven,-3.019059653,0.690798072
1,Yellow-bellied Fairy-Fantail,-4.227274542,0.635509954
1,Gray-headed Canary-Flycatcher,-3.671039476,0.646294382
1,Yellow-browed Tit,-4.864576932,0.689707642
1,Sultan Tit,-4.302692058,0.660594328
1,Coal Tit,-3.144874167,0.665979602
1,Rufous-naped Tit,-2.996108554,0.681918394
1,Rufous-vented Tit,-4.95904982,0.726313979
1,Gray-crested Tit,-5.04659866,0.712677534
1,Green-backed Tit,-3.031767168,0.674107543
1,Cinereous Tit,-3.057949319,0.650388947
1,Himalayan Black-lored Tit,-3.964141711,0.683650236
1,Indian Yellow Tit,-4.227639989,0.677558514
1,Yellow-cheeked Tit,-4.472869187,0.670845317
1,Rufous-tailed Lark,-3.666896317,0.625186978
1,Ashy-crowned Sparrow-Lark,-2.997381658,0.623994601
1,Bengal Bushlark,-3.956099841,0.644707143
1,Jerdon's Bushlark,-3.790907143,0.64863325
1,Indian Bushlark,-3.718976258,0.628335751
1,Horned Lark,-1.888943932,0.693970292
1,Greater Short-toed Lark,-4.69444492,0.6662827
1,Sand Lark,-4.471987698,0.652969177
1,Oriental Skylark,-4.664508541,0.658108334
1,Crested Lark,-3.276832041,0.660033569
1,Malabar Lark,-5.05266806,0.680752499
1,Tawny Lark,-4.468090438,0.640875098
1,Common Tailorbird,-1.542204037,0.610661417
1,Himalayan Prinia,-3.804428148,0.654919318
1,Rufous-fronted Prinia,-3.927796359,0.635655434
1,Gray-breasted Prinia,-3.398685546,0.631625174
1,Delicate Prinia,-4.182639619,0.648534545
1,Jungle Prinia,-3.684826065,0.63117919
